chem,var_importance,tot_instances,uniq_instances
P,3070.793205019821,2873,191
Acenaphthylene,2931.2060929751,1275,118
Benzoapyrene,1426.3774615139728,672,26
Cr,1327.26558193702,1721,63
Triacontane,523.1511699352683,1151,62
var26_Dimethylnaphthalene,444.51537948389176,499,14
Benzaanthracene,420.4581958958096,185,11
Silicon,371.84787503892136,66,31
Cl,322.6871,162,5
Methylfluorene,298.4147757197645,139,12
Naphthalene,234.18936705803958,439,16
Fluorene,198.06508097335993,20,13
Tricosane,171.08686408464595,1253,47
Anthracene,126.07179089012558,132,8
Ca,106.5157131824493,26,5
Na,94.3786603981552,19,8
Dodecylcyclohexane,44.892644627490796,6,2
Heptacosane,44.2581543028599,131,9
Ba,39.27906666856958,285,5
Hentriacontane,28.517220938846894,11,5
var2_Methylnaphthalene,22.446322313745398,1,1
Heneicosane,17.93865678492103,4,3
Sb,15.885102235404615,4,1
Pentadecane,12.627956717678298,1,1
var2_Methylnonadecane,11.9686868034636,3,1
Levoglucosan,7.0,4,4
Docosane,6.625446770451728,28,8
SO_4,5.14843266302474,5,3
Al,4.0,19,4
Phenanthrene,3.44353814627431,60,1
Syringealdehyde,3.0,158,3
Hexacosane,2.777047630065294,45,3
Fluoranthene,2.0,181,2
Nonacosane,2.0,9,2
Tetracosane,2.0,27,2
Octacosane,1.9999999999999996,94,2
Sulphur,1.4800393394746643,8,2
Cd,1.0,5,1
Squalane,0.87445396,1,1
Zn,0.3062043336827596,38,1
Ni,0.0,2,2
Hexadecane,-1.767840025409765,184,5
Sr,-1.8317564776132158,12,4
Nonadecylcyclohexane,-3.1347616000000005,10,1
Retene,-4.547880500775707,180,4
Eicosane,-5.0228277,33,9
Guaiacol,-5.7072145542010455,76,2
Phytane,-6.363477200000001,2,2
Heptadecane,-13.113447375678177,76,5
Coniferylaldehyde,-17.8248028,158,13
Vanillin,-44.39220280205853,108,22
var3_Methylnonadecane,-45.052619853609784,14,5
var35_Dimethoxyphenol,-66.64717628164101,44,7
Isoeugenol,-128.87590279999995,286,30
Propylguaiacol,-173.4659076911702,353,16
Ethylguaiacol,-195.0059131276621,74,19
Dibenzofuran,-298.9917159625298,27,8
Eugenol,-633.5479785051822,237,43
