Variable,Coefficient
Cyp1a1_79654,1.7261755978700437
Arf1_31811,1.5676396877793668
Cyp1a1_29719,0.9753174031911951
Myc_30907,0.9703221300607301
Hist1h2bc_29206,0.7601477156125702
March3_58049,0.6530332563350646
Slc26a4_56472,0.6352806970310366
Alg11_64834,0.5946374093983826
K,0.4890087427837849
Cxcl10_29431,0.4693684641188967
Kbtbd7_76521,0.4640726090952722
Fpr1_30738,0.45898803579125425
Igkv16-104_74538,0.42325509427540237
Tgm1_60333,0.4151177715560827
Egr1_58083,0.3934090181155354
Lsamp_31051,0.3690608425428374
Fpr1_72651,0.3570779154234601
Rraga_80101,0.3411909961882783
Acyp1_74193,0.2938735112283648
Acod1_54942,0.2809557431432715
Sema7a_72108,0.27799220678536934
Nkain4_82157,0.23197229532600355
Siglecf_71530,0.21283322616908615
Nkain4_74119,0.18639670359919014
Serpina3n_29367,0.18485805610349473
Gbp4_72637,0.15688855494256923
Csf2_61958,0.12353391711509931
Trdmt1_72939,0.12337694755081742
Mcur1_30741,0.12232332038143674
Zmiz2_62411,0.10984245856720688
Zfp52_62706,0.09985157881779104
Plscr4_55764,0.09821169393514294
Rpl3l_76369,0.0962276649086254
Ccdc186_58520,0.09279022824450925
Zfp994_73585,0.08237934308244368
Btnl9_55542,0.07695603266791003
Myl3_75394,0.0663449647042392
Cdkn2a_67661,0.04586290651181829
Mypn_29309,0.04405686318102605
Sgcg_29583,0.029292003064780064
Mt1_76728,0.02769574963529786
Ifi44_55588,0.009947611854115506
Atp6v0d2_76694,0.006463058972095816
Ephb6_66860,0.004851179362586237
Alox15_61552,0.001096000363370023
Rps26_78862,-0.03154984112458942
Ckmt2_30858,-0.03790217640730411
Guaiacol,-0.053302540030757885
Actn2_32214,-0.06284503123834048
Syt14_59917,-0.06297243617715922
Rgs22_79648,-0.07721227424247601
EAR12_31077,-0.07744855082005961
Coniferyl aldehyde,-0.09259563385866752
Sh3gl2_31946,-0.09471127739675254
mt-Nd3_82089,-0.12438874325430446
Gm13238_30264,-0.1576192800979048
Snx11_32113,-0.15918330637104583
Gm5737_59680,-0.16097306367372874
Pstk_65222,-0.16407104298691175
Tcap_31038,-0.1712798900762481
Hfe2_69619,-0.17295364904144855
Eugenol,-0.19103322552074267
AC132444.6_82305,-0.22424239039420396
Ethylguaiacol,-0.2565959486031803
Muc5b_58389,-0.2690976842544759
Kdm6a_65647,-0.27908904080235053
mt-Nd4l_82096,-0.2949223905416688
Gm21190_82342,-0.2960295208637966
Methoxymethyl phenol,-0.370344981045465
Eef1a2_67152,-0.4363308502751422
Adamts5_56833,-0.523255393510212
Lipo5_56386,-0.5384035227617489
Rsph3b_31489,-0.5481419679617447
Dusp11_79084,-0.599086578746843
Dydc1_55826,-0.6742184013662368
Vanillin,-0.6805878741316244
Asb14_29409,-0.8539914886447498
Mettl14_68520,-1.0001013702758044
Tacr1_72530,-1.0546171418715584
Isoeugenol,-1.5885692910326568
