Feature,Importance
P,0.12774384950728776
Eugenol,0.081788109
Cr,0.046275821
Retene,0.043568255
Guaiacol,0.04026937
NO3,0.037110261
Vanillin,0.033942455709952996
Ti,0.033600097022990945
Propylguaiacol,0.033156254
Dibenzofuran,0.029924298136054055
Isoeugenol,0.028153532
Docosane,0.027060997638755257
Tricosane,0.024576902713911403
Si,0.019436400952751957
Coniferyl aldehyde,0.0185312
Cd,0.018198664
Cu,0.015217825833420861
Acenaphthylene,0.013783578243197436
Cl,0.013674353
Pentadecane,0.013456909948318732
Methoxymethyl phenol,0.011816717590656617
NH4,0.011556066
SO4,0.011437611
Ni,0.009784932
Naphthalene,0.009559479
Zn,0.00899661
Mg,0.008863001
Ca,0.008663069
Ethylguaiacol,0.008411785
Ba,0.008327641
S,0.008277619
Mn,0.007890255
Tetracosane,0.007535322
K,0.007396536
Fe,0.007387965
Sr,0.007249449
PO4,0.007234882
Eicosane,0.007220258
Levoglucosan,0.007199084
Chrysene,0.00713467
Na,0.00652088
Heneicosane,0.00593174
Methylfluorene,0.005799295
Sb,0.005228252
1-Methylnaphthalene,0.005146741
Fluoranthene,0.005118551
Pyrene,0.005087592
Benz(a)anthracene,0.004958395
Anthracene,0.004829797
Nonadecane,0.00459456
Al,0.004039027
Pentacosane,0.003965174
Fluorene,0.003863843
Pb,0.003815771
Triacontane,0.003539451
Benzo[ghi]perylene,0.00349514
Hentriacontane,0.003408833
Heptacosane,0.003275399
Phenanthrene,0.003247927
Hexacosane,0.003110435
Syringealdehyde,0.002970456
Benzo(a)pyrene,0.002955557
Hexadecane,0.002878016
Nonadecylcyclohexane,0.002450313
3-Methylnonadecane,0.002301483
Octadecane,0.002270012
Benzo(e)pyrene,0.002129226
Benzo(k)fluoranthene,0.00205839
Perylene,0.002007365
2-Methylnaphthalene,0.001968229
Benzo(b)fluoranthene,0.001784246
Tetradecane,0.001683187
Heptadecane,0.001535578
Tridecane,0.001348127
Acetosyringone,0.00134587
"Indeno[1,2,3-cd]pyrene",0.001340123
Nonacosane,0.001331489
"2,6-Dimethylnaphthalene",0.001109099
2-Methylnonadecane,0.001092564
Squalane,0.000890676
"3,5-Dimethoxyphenol",0.000761901
Octacosane,0.00061867
Dodecylcyclohexane,0.000412094
9-Methylanthracene,0.000139855
Phytane,0.000127542
1-Methylchysene,0.000101043
