Input,Binary operators,Unary Operators,Correct,RMSE,Equation
Noise=0.5,"['-', '+']",['myfunction(x) = x'],0,12.69625868,((((((chem8 + chem6) + ((chem6 + chem6) + chem1)) + chem4) + chem6) + chem6) + chem6) + chem6
Noise=1,"['-', '+']",['myfunction(x) = x'],0,12.97681873,(chem6 + (((chem8 + (chem8 + chem6)) + chem6) + (chem6 + ((chem6 + chem4) + chem6)))) + chem4
Noise=2,"['-', '+']",['myfunction(x) = x'],0,12.96696546,(chem6 + chem6) + ((((((chem8 + chem6) + chem4) + chem8) + chem6) + (chem4 + chem6)) + chem6)
Noise=3,"['-', '+']",['myfunction(x) = x'],0,12.91625896,(chem4 + ((((((chem6 + chem6) + chem4) + chem6) + chem6) + (chem8 + chem6)) + chem6)) + chem6
Noise=4,"['-', '+']",['myfunction(x) = x'],0,13.71650428,((chem6 + (((((chem4 + (chem6 + chem6)) + chem6) + chem8) + chem6) + chem6)) + chem4) + chem8
Noise=5,"['-', '+']",['myfunction(x) = x'],0,13.39924565,chem6 + ((chem6 + chem6) + ((((chem8 + chem6) + (chem8 + (chem4 + chem4))) + chem6) + chem6))
No_noise_all_var,"['-', '+']",['myfunction(x) = x'],0,12.82694865,(((chem6 + (chem8 + chem6)) + (chem6 + chem6)) + ((chem8 + (chem4 + chem6)) + chem6)) + chem4
No_noise_rel_var,"['-', '+']",['myfunction(x) = x'],0,13.1050039,11.295083 + ((((chem6 + ((chem2 + (chem2 + chem6)) + chem6)) + (chem6 + chem6)) + chem6) + chem6)
Noise=0.5,"['-', '+', '*', '/']",['myfunction(x) = x'],1,0.456695532,(2.995149 * (chem6 * chem2)) + (chem13 / chem10)
Noise=1,"['-', '+', '*', '/']",['myfunction(x) = x'],0,1.298149812,((3.0195937 * chem6) * chem2) + chem13
Noise=2,"['-', '+', '*', '/']",['myfunction(x) = x'],0,2.097951954,((chem6 * chem2) * 3.0277603) + chem13
Noise=3,"['-', '+', '*', '/']",['myfunction(x) = x'],0,3.061191166,chem13 + ((chem6 * 3.0038676) * chem2)
Noise=4,"['-', '+', '*', '/']",['myfunction(x) = x'],0,4.143000173,(chem2 * chem6) / 0.31753892
Noise=5,"['-', '+', '*', '/']",['myfunction(x) = x'],0,5.072984573,(chem6 * chem2) * 3.144635
No_noise_all_var,"['-', '+', '*', '/']",['myfunction(x) = x'],1,6.22E-15,(((chem6 + chem6) + chem6) * chem2) + (chem13 / chem10)
No_noise_rel_var,"['-', '+', '*', '/']",['myfunction(x) = x'],0,1.812736909,((2.932984 * chem2) * chem6) + chem15
Noise=0.5,"['-', '+', '*', '/', 'min', 'max']","['log', 'sqrt', 'sin', 'cos']",1,0.456695596,(chem13 / chem10) + (chem2 * (chem6 / 0.33387563))
Noise=1,"['-', '+', '*', '/', 'min', 'max']","['log', 'sqrt', 'sin', 'cos']",0,1.298149812,((chem2 * chem6) / 0.33117053) + chem13
Noise=2,"['-', '+', '*', '/', 'min', 'max']","['log', 'sqrt', 'sin', 'cos']",0,2.097951954,((chem6 * chem2) / 0.33027712) + chem13
Noise=3,"['-', '+', '*', '/', 'min', 'max']","['log', 'sqrt', 'sin', 'cos']",0,3.06119118,((chem6 * chem2) / 0.33290568) + chem13
Noise=4,"['-', '+', '*', '/', 'min', 'max']","['log', 'sqrt', 'sin', 'cos']",0,2.993420918,(((chem2 * chem6) + cos((chem15 - chem13) + 1.1015347)) / 0.32058287) + chem13
Noise=5,"['-', '+', '*', '/', 'min', 'max']","['log', 'sqrt', 'sin', 'cos']",0,4.270488111,((chem2 * chem6) * 3.0683897) + chem13
No_noise_all_var,"['-', '+', '*', '/', 'min', 'max']","['log', 'sqrt', 'sin', 'cos']",1,0,(chem13 / chem10) + (chem2 * (chem6 * 3.0))
No_noise_rel_var,"['-', '+', '*', '/', 'min', 'max']","['log', 'sqrt', 'sin', 'cos']",0,1.451527375,"max(chem15 - cos(chem15), chem2) - ((chem2 * chem6) * -2.8780131)"
